series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
Devilman: Crybaby;2020-10-12;8;Completed;10;2020-10-10;10;ONA;35120
Doukyonin wa Hiza, Tokidoki, Atama no Ue.;2022-08-09;7;Completed;12;2022-08-02;12;TV;38145
Dr. Stone;2019-12-13;8;Completed;24;2019-07-07;24;TV;38691
Dr. Stone: New World;2023-07-05;9;Completed;11;2023-07-05;11;TV;48549
Dr. Stone: New World Part 2;2024-10-30;9;Completed;11;2024-10-28;11;TV;55644
Dr. Stone: Ryuusui;2022-08-23;8;Completed;1;2022-08-23;1;TV Special;50612
Dr. Stone: Stone Wars;2021-03-28;9;Completed;11;2021-01-14;11;TV;40852
Dragon Ball;2010-06-25;8;Completed;153;2010-03-14;153;TV;223
Dragon Ball Daima;0000-00-00;0;Watching;6;2024-10-11;0;TV;56894
Dragon Ball GT;2010-09-23;6;Completed;64;2010-01-14;64;TV;225
Dragon Ball Super;2018-03-27;7;Completed;131;2017-11-23;131;TV;30694
Dragon Ball Super: Broly;2019-01-14;7;Completed;1;2019-01-14;1;Movie;36946
Dragon Ball Z;2013-03-27;7;Completed;291;2013-02-13;291;TV;813
Dragon Ball Z Movie 14: Kami to Kami;2013-04-05;7;Completed;1;2013-04-05;1;Movie;14837
"Dragon Ball Z Movie 15: Fukkatsu no ""F""";2015-04-25;7;Completed;1;2015-04-25;1;Movie;25389
Dumbbell Nan Kilo Moteru?;2019-12-28;7;Completed;12;2019-12-26;12;TV;39026
Dungeon Meshi;0000-00-00;0;Plan to Watch;0;0000-00-00;24;TV;52701
Eizouken ni wa Te wo Dasu na!;2020-03-26;9;Completed;12;2020-01-10;12;TV;39792
Enen no Shouboutai;2019-12-29;7;Completed;24;2019-07-08;24;TV;38671
Enen no Shouboutai: Ni no Shou;2020-12-16;7;Completed;24;2020-07-05;24;TV;40956
Evangelion Movie 1: Jo;2021-08-16;9;Completed;1;2021-08-16;1;Movie;2759
Evangelion Movie 2: Ha;2022-02-13;9;Completed;1;2022-02-13;1;Movie;3784
